event_id,start,end,duration_minutes,clusters
0,2017-01-04 06:15:00,2017-01-04 06:15:00,0.0,[2]
1,2017-01-08 05:10:00,2017-01-08 05:10:00,0.0,[2]
2,2017-01-18 04:00:00,2017-01-18 04:10:00,10.0,[2]
3,2017-01-20 05:05:00,2017-01-20 05:15:00,10.0,[2]
4,2017-01-23 00:15:00,2017-01-23 01:00:00,45.0,[2]
5,2017-01-23 01:20:00,2017-01-23 01:20:00,0.0,[2]
6,2017-01-23 02:45:00,2017-01-23 02:45:00,0.0,[1]
7,2017-01-23 08:00:00,2017-01-23 08:30:00,30.0,[2]
8,2017-01-23 15:20:00,2017-01-23 16:50:00,90.0,[2]
9,2017-01-25 01:00:00,2017-01-25 01:10:00,10.0,[2]
10,2017-01-25 18:00:00,2017-01-25 18:25:00,25.0,[2]
11,2017-01-26 10:15:00,2017-01-26 10:15:00,0.0,[2]
12,2017-01-26 10:35:00,2017-01-26 10:45:00,10.0,[2]
13,2017-01-26 11:10:00,2017-01-26 11:25:00,15.0,[2]
14,2017-01-26 13:50:00,2017-01-26 14:05:00,15.0,[2]
15,2017-01-28 17:25:00,2017-01-28 17:55:00,30.0,[2]
16,2017-01-31 05:20:00,2017-01-31 05:20:00,0.0,[2]
17,2017-01-31 06:00:00,2017-01-31 06:05:00,5.0,[2]
18,2017-02-01 13:35:00,2017-02-01 13:40:00,5.0,[2]
19,2017-02-01 15:45:00,2017-02-01 16:00:00,15.0,[2]
20,2017-02-08 07:45:00,2017-02-08 08:00:00,15.0,[2]
21,2017-02-16 13:00:00,2017-02-16 13:00:00,0.0,[2]
22,2017-02-20 11:55:00,2017-02-20 11:55:00,0.0,[2]
23,2017-02-25 15:15:00,2017-02-25 15:15:00,0.0,[2]
24,2017-02-27 02:15:00,2017-02-27 02:15:00,0.0,[2]
25,2017-03-02 02:50:00,2017-03-02 03:35:00,45.0,[2]
26,2017-03-02 08:00:00,2017-03-02 08:10:00,10.0,[2]
27,2017-03-07 21:30:00,2017-03-07 22:55:00,85.0,[2]
28,2017-03-07 23:25:00,2017-03-07 23:25:00,0.0,[2]
29,2017-03-08 02:00:00,2017-03-08 02:00:00,0.0,[2]
30,2017-03-12 04:05:00,2017-03-12 04:05:00,0.0,[1]
31,2017-03-12 04:35:00,2017-03-12 04:45:00,10.0,[2]
32,2017-03-14 10:55:00,2017-03-14 10:55:00,0.0,[2]
33,2017-03-16 18:20:00,2017-03-16 18:35:00,15.0,[2]
34,2017-03-16 22:40:00,2017-03-16 22:40:00,0.0,[2]
35,2017-03-22 21:35:00,2017-03-22 21:35:00,0.0,[1]
36,2017-03-23 06:40:00,2017-03-23 07:35:00,55.0,[1]
37,2017-03-23 08:30:00,2017-03-23 08:30:00,0.0,[1]
38,2017-03-25 02:30:00,2017-03-25 02:30:00,0.0,[1]
39,2017-03-25 03:15:00,2017-03-25 03:15:00,0.0,[1]
40,2017-03-25 04:10:00,2017-03-25 04:10:00,0.0,[2]
41,2017-03-25 04:40:00,2017-03-25 05:40:00,60.0,[2]
42,2017-03-25 06:00:00,2017-03-25 06:15:00,15.0,[2]
43,2017-03-25 06:35:00,2017-03-25 07:25:00,50.0,[2]
44,2017-03-25 10:10:00,2017-03-25 11:00:00,50.0,[2]
45,2017-03-26 01:45:00,2017-03-26 02:20:00,35.0,[2]
46,2017-03-27 12:05:00,2017-03-27 12:05:00,0.0,[2]
47,2017-03-27 12:30:00,2017-03-27 12:40:00,10.0,[2]
48,2017-03-30 21:15:00,2017-03-30 21:15:00,0.0,[2]
49,2017-03-30 22:05:00,2017-03-30 22:20:00,15.0,"[2, 0]"
50,2017-03-30 23:30:00,2017-03-30 23:30:00,0.0,[1]
51,2017-03-31 00:05:00,2017-03-31 00:10:00,5.0,[2]
52,2017-03-31 00:40:00,2017-03-31 00:50:00,10.0,[2]
53,2017-04-03 15:35:00,2017-04-03 15:35:00,0.0,[2]
54,2017-04-07 01:25:00,2017-04-07 01:25:00,0.0,[2]
55,2017-04-07 02:35:00,2017-04-07 02:35:00,0.0,[2]
56,2017-04-17 19:05:00,2017-04-17 19:05:00,0.0,[2]
57,2017-04-17 19:30:00,2017-04-17 20:30:00,60.0,[2]
58,2017-04-18 00:55:00,2017-04-18 00:55:00,0.0,[2]
59,2017-04-18 09:40:00,2017-04-18 09:45:00,5.0,[2]
60,2017-04-18 10:20:00,2017-04-18 11:15:00,55.0,[2]
61,2017-04-19 20:55:00,2017-04-19 20:55:00,0.0,[2]
62,2017-04-19 21:45:00,2017-04-20 00:10:00,145.0,[2]
63,2017-04-20 00:55:00,2017-04-20 01:30:00,35.0,[2]
64,2017-04-22 19:40:00,2017-04-22 19:40:00,0.0,[2]
65,2017-05-09 12:15:00,2017-05-09 12:15:00,0.0,[2]
66,2017-05-09 12:40:00,2017-05-09 12:50:00,10.0,[2]
67,2017-05-09 13:25:00,2017-05-09 13:25:00,0.0,[2]
68,2017-05-11 18:50:00,2017-05-11 18:50:00,0.0,[2]
69,2017-05-19 00:30:00,2017-05-19 00:50:00,20.0,[2]
70,2017-05-19 15:05:00,2017-05-19 15:25:00,20.0,[1]
71,2017-05-22 00:25:00,2017-05-22 00:25:00,0.0,[1]
72,2017-05-29 22:05:00,2017-05-29 22:15:00,10.0,[1]
73,2017-05-30 20:35:00,2017-05-30 20:35:00,0.0,[1]
74,2017-05-30 21:00:00,2017-05-30 21:15:00,15.0,[1]
75,2017-05-30 21:40:00,2017-05-30 21:45:00,5.0,[2]
76,2017-05-30 22:15:00,2017-05-30 22:55:00,40.0,[2]
77,2017-05-31 01:00:00,2017-05-31 01:30:00,30.0,[2]
78,2017-05-31 03:50:00,2017-05-31 03:50:00,0.0,[2]
79,2017-05-31 19:05:00,2017-05-31 19:15:00,10.0,[2]
80,2017-05-31 19:40:00,2017-05-31 19:45:00,5.0,[2]
81,2017-05-31 20:15:00,2017-05-31 20:20:00,5.0,[2]
82,2017-05-31 22:55:00,2017-05-31 23:45:00,50.0,[2]
83,2017-06-01 00:25:00,2017-06-01 01:15:00,50.0,[2]
84,2017-06-01 02:20:00,2017-06-01 02:30:00,10.0,[2]
85,2017-06-01 09:25:00,2017-06-01 09:50:00,25.0,[2]
86,2017-06-03 16:05:00,2017-06-03 16:05:00,0.0,[2]
87,2017-06-03 17:05:00,2017-06-03 17:15:00,10.0,[2]
88,2017-06-04 16:50:00,2017-06-04 17:15:00,25.0,[2]
89,2017-06-05 00:30:00,2017-06-05 00:30:00,0.0,[2]
90,2017-06-05 13:50:00,2017-06-05 14:05:00,15.0,[2]
91,2017-06-05 14:25:00,2017-06-05 14:40:00,15.0,[2]
92,2017-06-06 14:45:00,2017-06-06 14:45:00,0.0,[2]
93,2017-06-09 02:20:00,2017-06-09 02:30:00,10.0,"[3, 0]"
94,2017-06-09 03:20:00,2017-06-09 03:25:00,5.0,[2]
95,2017-06-12 14:00:00,2017-06-12 14:15:00,15.0,[2]
96,2017-06-12 16:05:00,2017-06-12 16:05:00,0.0,[2]
97,2017-06-12 16:45:00,2017-06-12 16:45:00,0.0,[2]
98,2017-06-14 06:10:00,2017-06-14 07:00:00,50.0,[2]
99,2017-06-14 07:20:00,2017-06-14 07:25:00,5.0,[2]
100,2017-06-16 20:00:00,2017-06-16 20:55:00,55.0,[2]
101,2017-06-16 21:20:00,2017-06-16 21:20:00,0.0,[2]
102,2017-06-16 22:40:00,2017-06-16 22:45:00,5.0,[2]
103,2017-06-16 23:30:00,2017-06-17 00:05:00,35.0,[2]
104,2017-06-24 21:00:00,2017-06-24 21:25:00,25.0,[2]
105,2017-06-26 10:40:00,2017-06-26 10:45:00,5.0,[2]
106,2017-06-26 11:40:00,2017-06-26 11:45:00,5.0,[2]
107,2017-06-27 20:30:00,2017-06-27 20:30:00,0.0,[2]
108,2017-06-28 13:05:00,2017-06-28 13:05:00,0.0,[2]
109,2017-06-28 13:40:00,2017-06-28 14:05:00,25.0,[2]
110,2017-06-30 17:05:00,2017-06-30 17:05:00,0.0,[2]
111,2017-07-20 12:10:00,2017-07-20 12:10:00,0.0,[1]
112,2017-07-20 13:35:00,2017-07-20 14:20:00,45.0,[2]
113,2017-07-28 02:00:00,2017-07-28 02:15:00,15.0,[2]
114,2017-07-28 23:20:00,2017-07-28 23:20:00,0.0,[2]
115,2017-07-31 04:30:00,2017-07-31 04:30:00,0.0,[2]
116,2017-07-31 07:55:00,2017-07-31 07:55:00,0.0,[1]
117,2017-07-31 16:25:00,2017-07-31 17:05:00,40.0,[2]
118,2017-07-31 17:35:00,2017-07-31 17:35:00,0.0,[2]
119,2017-07-31 18:10:00,2017-07-31 18:10:00,0.0,[2]
120,2017-08-05 05:10:00,2017-08-05 05:10:00,0.0,[1]
121,2017-08-05 05:50:00,2017-08-05 05:50:00,0.0,[2]
122,2017-08-06 09:10:00,2017-08-06 09:10:00,0.0,[2]
123,2017-08-09 14:50:00,2017-08-09 14:50:00,0.0,[2]
124,2017-08-09 15:15:00,2017-08-09 15:35:00,20.0,[2]
125,2017-08-20 00:40:00,2017-08-20 00:45:00,5.0,[2]
126,2017-08-20 22:20:00,2017-08-20 22:25:00,5.0,[2]
127,2017-08-28 14:30:00,2017-08-28 14:30:00,0.0,[2]
128,2017-09-09 12:45:00,2017-09-09 12:50:00,5.0,[1]
129,2017-09-09 13:30:00,2017-09-09 14:45:00,75.0,[2]
130,2017-09-09 15:05:00,2017-09-09 15:05:00,0.0,[2]
131,2017-09-09 15:50:00,2017-09-09 15:50:00,0.0,[2]
132,2017-09-11 07:20:00,2017-09-11 07:45:00,25.0,[2]
133,2017-09-13 23:45:00,2017-09-14 00:00:00,15.0,[2]
134,2017-09-14 02:50:00,2017-09-14 02:50:00,0.0,[1]
135,2017-09-14 03:35:00,2017-09-14 03:45:00,10.0,[2]
136,2017-09-14 04:05:00,2017-09-14 04:20:00,15.0,[2]
137,2017-09-14 04:55:00,2017-09-14 04:55:00,0.0,[2]
138,2017-09-16 17:15:00,2017-09-16 17:15:00,0.0,[0]
139,2017-09-17 16:45:00,2017-09-17 17:15:00,30.0,[2]
140,2017-09-17 19:05:00,2017-09-17 19:10:00,5.0,[1]
141,2017-09-17 19:55:00,2017-09-17 20:30:00,35.0,[2]
142,2017-09-19 01:10:00,2017-09-19 02:15:00,65.0,[2]
143,2017-10-11 21:45:00,2017-10-11 23:15:00,90.0,"[0, 2, 1]"
144,2017-10-17 15:40:00,2017-10-17 15:40:00,0.0,[1]
145,2017-10-17 18:15:00,2017-10-17 18:15:00,0.0,[1]
146,2017-10-19 07:05:00,2017-10-19 07:05:00,0.0,[1]
147,2017-10-19 07:25:00,2017-10-19 07:40:00,15.0,[2]
148,2017-10-19 08:00:00,2017-10-19 11:10:00,190.0,[2]
149,2017-10-20 03:20:00,2017-10-20 03:20:00,0.0,[2]
150,2017-10-20 04:25:00,2017-10-20 04:25:00,0.0,[1]
151,2017-10-20 05:55:00,2017-10-20 05:55:00,0.0,[2]
152,2017-10-20 14:00:00,2017-10-20 14:00:00,0.0,[1]
153,2017-10-21 09:45:00,2017-10-21 09:50:00,5.0,[2]
154,2017-10-21 19:35:00,2017-10-21 19:45:00,10.0,[2]
155,2017-10-21 20:15:00,2017-10-21 20:20:00,5.0,[2]
156,2017-10-23 13:45:00,2017-10-23 13:45:00,0.0,[2]
157,2017-10-23 18:20:00,2017-10-23 18:30:00,10.0,[2]
158,2017-10-23 20:45:00,2017-10-23 20:50:00,5.0,[2]
159,2017-10-25 10:10:00,2017-10-25 10:10:00,0.0,[2]
160,2017-10-27 18:45:00,2017-10-27 19:05:00,20.0,[2]
161,2017-10-27 19:45:00,2017-10-27 20:00:00,15.0,[2]
162,2017-10-28 15:00:00,2017-10-28 15:00:00,0.0,[2]
163,2017-10-31 23:35:00,2017-10-31 23:35:00,0.0,[1]
164,2017-11-01 00:15:00,2017-11-01 00:25:00,10.0,[2]
165,2017-11-01 20:05:00,2017-11-01 20:05:00,0.0,[1]
166,2017-11-04 09:45:00,2017-11-04 09:45:00,0.0,[2]
167,2017-11-16 19:15:00,2017-11-16 19:15:00,0.0,[2]
168,2017-11-17 10:45:00,2017-11-17 10:55:00,10.0,[2]
169,2017-11-18 19:10:00,2017-11-18 19:10:00,0.0,[2]
170,2017-11-19 11:25:00,2017-11-19 11:30:00,5.0,[2]
171,2017-11-28 16:15:00,2017-11-28 16:50:00,35.0,[1]
172,2017-12-08 21:05:00,2017-12-08 21:25:00,20.0,"[1, 2]"
173,2017-12-08 22:00:00,2017-12-08 22:00:00,0.0,[2]
174,2017-12-08 23:45:00,2017-12-08 23:45:00,0.0,[2]
175,2017-12-09 01:00:00,2017-12-09 01:00:00,0.0,[2]
176,2017-12-09 03:55:00,2017-12-09 04:10:00,15.0,[2]
177,2017-12-09 05:25:00,2017-12-09 05:30:00,5.0,[2]
178,2017-12-09 09:35:00,2017-12-09 09:35:00,0.0,[2]
179,2017-12-09 10:30:00,2017-12-09 10:50:00,20.0,[2]
180,2017-12-09 11:20:00,2017-12-09 11:20:00,0.0,[2]
181,2017-12-12 11:25:00,2017-12-12 12:05:00,40.0,[2]
182,2017-12-12 22:10:00,2017-12-12 22:15:00,5.0,[0]
183,2017-12-12 23:35:00,2017-12-12 23:50:00,15.0,[3]
184,2017-12-13 00:20:00,2017-12-13 00:20:00,0.0,[2]
185,2017-12-13 00:50:00,2017-12-13 01:10:00,20.0,[2]
186,2017-12-25 07:05:00,2017-12-25 07:05:00,0.0,[1]
187,2017-12-25 07:45:00,2017-12-25 07:50:00,5.0,[2]
188,2017-12-25 09:00:00,2017-12-25 10:35:00,95.0,[2]
189,2017-12-25 12:05:00,2017-12-25 12:05:00,0.0,[2]
190,2017-12-25 14:00:00,2017-12-25 14:25:00,25.0,[2]
191,2017-12-27 10:25:00,2017-12-27 10:25:00,0.0,[2]
192,2017-12-27 21:00:00,2017-12-27 21:10:00,10.0,[2]
193,2017-12-28 12:10:00,2017-12-28 12:15:00,5.0,[2]
194,2017-12-29 04:00:00,2017-12-29 04:00:00,0.0,[2]
195,2017-12-29 07:25:00,2017-12-29 07:50:00,25.0,[2]
196,2018-01-01 12:45:00,2018-01-01 12:45:00,0.0,[2]
197,2018-01-01 15:30:00,2018-01-01 16:00:00,30.0,[2]
198,2018-01-04 03:15:00,2018-01-04 03:15:00,0.0,[2]
199,2018-01-08 10:25:00,2018-01-08 10:25:00,0.0,[2]
200,2018-01-16 19:30:00,2018-01-16 20:05:00,35.0,[2]
201,2018-01-18 03:20:00,2018-01-18 03:20:00,0.0,[2]
202,2018-01-18 03:40:00,2018-01-18 03:40:00,0.0,[2]
203,2018-01-19 12:15:00,2018-01-19 12:15:00,0.0,[2]
204,2018-01-31 11:55:00,2018-01-31 11:55:00,0.0,[2]
205,2018-02-01 16:15:00,2018-02-01 16:15:00,0.0,[1]
206,2018-02-01 16:50:00,2018-02-01 16:55:00,5.0,[1]
207,2018-02-01 17:20:00,2018-02-01 17:45:00,25.0,[2]
208,2018-02-01 18:20:00,2018-02-01 18:40:00,20.0,[1]
209,2018-02-02 00:20:00,2018-02-02 00:45:00,25.0,[1]
210,2018-02-02 01:35:00,2018-02-02 02:45:00,70.0,[1]
211,2018-02-02 09:10:00,2018-02-02 10:50:00,100.0,[2]
212,2018-02-02 11:10:00,2018-02-02 11:30:00,20.0,[2]
213,2018-02-02 20:30:00,2018-02-02 20:30:00,0.0,[2]
214,2018-02-03 08:35:00,2018-02-03 08:55:00,20.0,[2]
215,2018-02-07 17:35:00,2018-02-07 17:35:00,0.0,[2]
216,2018-02-11 16:40:00,2018-02-11 17:25:00,45.0,[2]
217,2018-02-11 18:00:00,2018-02-11 18:00:00,0.0,[2]
218,2018-02-11 18:40:00,2018-02-11 18:40:00,0.0,[2]
219,2018-02-11 19:00:00,2018-02-11 19:05:00,5.0,[2]
220,2018-02-14 10:50:00,2018-02-14 11:10:00,20.0,[2]
221,2018-02-16 10:45:00,2018-02-16 10:45:00,0.0,[1]
222,2018-02-17 10:10:00,2018-02-17 12:30:00,140.0,"[1, 2]"
