start,end,duration_minutes
2017-03-22 12:00:00,2017-03-22 12:50:00,50.0
2017-03-22 15:55:00,2017-03-22 17:05:00,70.0
2017-04-06 08:40:00,2017-04-06 08:55:00,15.0
2017-04-06 10:00:00,2017-04-06 10:55:00,55.0
2017-05-19 21:40:00,2017-05-22 00:25:00,3045.0
2017-05-22 00:30:00,2017-05-29 22:05:00,11375.0
2017-09-20 01:00:00,2017-10-11 21:45:00,31485.0
2017-10-11 23:55:00,2017-10-17 15:40:00,8145.0
2017-10-17 15:50:00,2017-10-17 18:15:00,145.0
2017-10-17 18:30:00,2017-10-17 22:05:00,215.0
2017-10-17 22:30:00,2017-10-17 23:10:00,40.0
2017-10-17 23:20:00,2017-10-17 23:30:00,10.0
2017-10-18 05:20:00,2017-10-18 05:25:00,5.0
2017-11-28 17:55:00,2017-12-05 08:55:00,9540.0
2017-12-05 12:40:00,2017-12-07 04:15:00,2375.0
2017-12-07 04:25:00,2017-12-07 04:35:00,10.0
2017-12-07 04:45:00,2017-12-07 04:55:00,10.0
2017-12-07 06:05:00,2017-12-07 06:35:00,30.0
2017-12-07 06:40:00,2017-12-07 07:40:00,60.0
2018-02-16 22:35:00,2018-02-16 23:00:00,25.0
2018-04-02 16:05:00,2018-04-03 17:30:00,1525.0
2018-04-30 02:00:00,2018-04-30 22:25:00,1225.0
2018-05-03 21:05:00,2018-05-03 21:15:00,10.0
2018-05-03 21:20:00,2018-05-03 21:25:00,5.0
2018-07-05 12:45:00,2018-07-08 14:35:00,4430.0
2018-07-15 21:15:00,2018-07-15 23:40:00,145.0
2018-08-29 18:20:00,2018-09-01 22:55:00,4595.0
2018-09-01 23:10:00,2018-09-01 23:15:00,5.0
2018-09-01 23:25:00,2018-09-01 23:35:00,10.0
2018-09-16 01:45:00,2018-09-17 02:55:00,1510.0
2018-09-17 03:10:00,2018-09-17 03:20:00,10.0
2018-09-26 08:35:00,2018-10-16 08:30:00,28795.0
2019-03-10 03:25:00,2019-03-16 22:10:00,9765.0
2019-05-05 21:05:00,2019-05-05 22:20:00,75.0
2019-05-05 22:50:00,2019-05-11 04:25:00,7535.0
2019-05-11 04:40:00,2019-05-11 04:45:00,5.0
2019-05-11 05:05:00,2019-05-11 05:10:00,5.0
2019-05-11 05:30:00,2019-05-12 02:15:00,1245.0
2019-05-12 02:20:00,2019-05-12 02:35:00,15.0
2019-05-12 02:40:00,2019-05-13 04:45:00,1565.0
2019-06-03 22:05:00,2019-06-20 22:50:00,24525.0
2019-08-02 11:25:00,2019-08-02 11:35:00,10.0
2019-08-02 11:40:00,2019-08-13 12:35:00,15895.0
2019-09-15 02:55:00,2019-10-24 09:00:00,56525.0
2019-11-19 00:20:00,2019-11-19 00:30:00,10.0
2019-12-01 05:05:00,2019-12-07 12:15:00,9070.0
2019-12-07 12:20:00,2019-12-23 17:05:00,23325.0
2019-12-23 17:50:00,2019-12-23 20:35:00,165.0
2020-03-24 03:35:00,2020-03-24 08:15:00,280.0
2020-03-24 15:30:00,2020-03-24 15:40:00,10.0
2020-03-24 15:55:00,2020-03-24 16:00:00,5.0
2020-03-24 16:10:00,2020-03-24 16:20:00,10.0
2020-03-24 16:25:00,2020-03-24 16:30:00,5.0
2020-03-24 16:40:00,2020-03-24 16:45:00,5.0
2020-03-24 16:50:00,2020-03-24 16:55:00,5.0
2020-03-24 17:05:00,2020-03-24 17:45:00,40.0
2020-03-24 18:10:00,2020-03-24 18:25:00,15.0
2020-03-24 18:30:00,2020-03-25 01:50:00,440.0
2020-03-25 01:55:00,2020-04-30 12:20:00,52465.0
